temperature,run,timestamp_utc,latency_ms,tags_json,summary
0.7,1,2026-08-31T18:00:32Z,14209,"[""food safety inspections"", ""restaurant hygiene"", ""yakitori restaurant inspections""]",Inspection found live flies and rodent droppings in food storage areas.
0.7,2,2026-08-31T18:00:46Z,16794,"[""yakitori restaurant inspections"", ""restaurant hygiene"", ""yakitori restaurant""]","Yakitori restaurant inspection found live flies and rodent droppings, indicating poor sanitation."
0.7,3,2026-08-31T18:01:03Z,15427,"[""restaurant hygiene"", ""yakitori inspections"", ""yakitori restaurant inspections""]","Yakitori restaurant inspection found flies and rodent droppings, showing hygiene and pest problems."
0.7,4,2026-08-31T18:01:18Z,16889,"[""food safety inspections"", ""yakitori restaurant inspections"", ""restaurant hygiene""]","Yakitori inspection found live flies and rodent droppings, showing poor hygiene and pest control."
0.7,5,2026-08-31T18:01:35Z,16420,"[""yakitori restaurant inspections"", ""yakitori restaurant"", ""restaurant inspections""]",A yakitori restaurant inspection found live flies and rodent droppings in storage areas.
0.7,6,2026-08-31T18:01:52Z,16038,"[""yakitori restaurant inspections"", ""yakitori restaurant"", ""restaurant inspections""]","Yakitori restaurant inspection found live flies and rodent droppings, indicating poor hygiene and pest control."
0.7,7,2026-08-31T18:02:08Z,15036,"[""food safety inspections"", ""yakitori restaurant inspections"", ""yakitori restaurant""]",A yakitori restaurant had hygiene issues with flies and rodent droppings during an inspection.
0.7,8,2026-08-31T18:02:23Z,14017,"[""restaurant hygiene"", ""yakitori inspections"", ""yakitori restaurant inspections""]",Yakitori restaurant faced hygiene and pest control issues during an inspection.
0.7,9,2026-08-31T18:02:37Z,16592,"[""yakitori restaurant inspections"", ""food safety inspections"", ""yakitori restaurant""]","Yakitori restaurant inspection found live flies and rodent droppings, indicating hygiene and food safety risks."
0.7,10,2026-08-31T18:02:53Z,16236,"[""food safety inspections"", ""restaurant hygiene"", ""yakitori restaurant inspections""]","Inspection found live flies and rodent droppings in a yakitori restaurant, raising food safety concerns."
0.7,11,2026-08-31T18:03:09Z,15260,"[""yakitori restaurant inspections"", ""yakitori restaurant"", ""restaurant inspections""]","Yakitori restaurant faced live flies and rodent droppings, indicating hygiene failures."
0.7,12,2026-08-31T18:03:25Z,14691,"[""restaurant hygiene"", ""yakitori inspections"", ""yakitori restaurant inspections""]",A yakitori restaurant had hygiene issues with flies and rodent droppings during an inspection.
0.7,13,2026-08-31T18:03:39Z,15115,"[""food safety inspections"", ""yakitori restaurant inspections"", ""yakitori restaurant""]",A yakitori restaurant faced hygiene issues with live flies and rodent droppings during an inspection.
0.7,14,2026-08-31T18:03:55Z,14594,"[""yakitori restaurant inspections"", ""restaurant hygiene"", ""yakitori restaurant""]",Inspection found live flies and rodent droppings in a yakitori restaurant.
