technique,q_num,rank,store_score,cosine_sim,chunk_len,preview,latency_ms,source,expected_source
token-based chunking,1,1,0.5255252718925476,0.509186821960208,2065,"County of Santa Clara Department of Environmental Health Consumer Protection Division 1555 Berger Drive, Suite 300 San Jose, CA 95112-2716 (408)918-3400 FAX (40",10.5,SCC-DEH-placarding-workshop-handout.pdf,SCC-DEH-placarding-workshop-handout.pdf
token-based chunking,1,2,0.4503178596496582,0.4935838782506738,2461,"system used, establishment scoring may provide an indication of how well a food establishment is complying with the food safety rules of the regulatory agency. ",10.5,FDA-FoodCode-2022-01182023.pdf,SCC-DEH-placarding-workshop-handout.pdf
token-based chunking,1,3,0.4483155906200409,0.44478447392356624,2229,BEVERAGE listed or displayed on a restaurant menu or advertisement for a children’s meal shall be one of the default BEVERAGEs listed in subdivision (a). 114379,10.5,CA-Retail-Food-Code-2025.pdf,SCC-DEH-placarding-workshop-handout.pdf
token-based chunking,1,4,0.44089141488075256,0.41852488307650404,2181,and list any program improvements needed only when an appropriation is made to the DEPARTMENT for these purposes. 113715. Compliance with applicable codes Any c,10.5,CA-Retail-Food-Code-2025.pdf,SCC-DEH-placarding-workshop-handout.pdf
token-based chunking,1,5,0.4318389296531677,0.37260384290164905,2222,of a COMPACT MOBILE FOOD OPERATION is punishable only by an administrative fine. (b) A violation of any provision of this part or regulation adopted pursuant to,10.5,CA-Retail-Food-Code-2025.pdf,SCC-DEH-placarding-workshop-handout.pdf
token-based chunking,2,1,0.5419458150863647,0.5409007310930736,1854,"Storage Containers Identified with Common Name of Food (C) 3-305.13 Vended Time/Temperature Control for Safety Food, Original Container (C) 3-601.11 Standards o",6.83,FDA-FoodCode-2022-01182023.pdf,SCC-DEH-placarding-workshop-handout.pdf
token-based chunking,2,2,0.534420371055603,0.49474569256778395,2047,shall wash his or her hands as required by Section 113953.3. (6) The outdoor dining area is maintained clean. Surfaces that have been contaminated by dog excrem,6.83,CA-Retail-Food-Code-2025.pdf,SCC-DEH-placarding-workshop-handout.pdf
token-based chunking,2,3,0.5114490985870361,0.48919492584068996,1963,"FARMERS’ MARKET or as APPROVED by the ENFORCEMENT OFFICER. (d) No live animals, birds, or fowl shall be kept or allowed, and no individual shall bring a live an",6.83,CA-Retail-Food-Code-2025.pdf,SCC-DEH-placarding-workshop-handout.pdf
token-based chunking,2,4,0.510037899017334,0.4588109233231842,1976,"A FOOD FACILITY shall at all times be constructed, equipped, maintained, and operated as to prevent the entrance and harborage of animals, birds, and VERMIN, in",6.83,CA-Retail-Food-Code-2025.pdf,SCC-DEH-placarding-workshop-handout.pdf
token-based chunking,2,5,0.5093334913253784,0.49755587705501875,2338,Toilet room doors must remain closed except during cleaning operations to prevent insect and rodent entrance and the associated potential for the spread of dise,6.83,FDA-FoodCode-2022-01182023.pdf,SCC-DEH-placarding-workshop-handout.pdf
